Geneid	HISAT2 on data 4 and data 3: aligned reads (BAM)
BNIPL	69
C1orf56	487
CDC42SE1	8303
MLLT11	56248
GABPB2	729
SEMA6C	19962
TNFAIP8L2	37
TNFAIP8L2-SCNM1	0
LYSMD1	2703
SCNM1	289
TMOD4	161
VPS72	7532
PIP5K1A	5995
PSMD4	7979
ZNF687	2706
PI4KB	7231
RFX5	3484
SELENBP1	659
PSMB4	8212
POGZ	30363
CGN	812
TUFT1	1414
MIR554	1
SNX27	14097
CELF3	37440
RIIAD1	32
MRPL9	2411
OAZ3	249
TDRKH	2965
LINGO4	0
RORC	26
C2CD4D	10
LOC100132111	19
THEM5	24
THEM4	647
S100A10	260
S100A11	328
TCHHL1	0
TCHH	135
RPTN	0
HRNR	122
FLG	1319
FLG2	27
CRNN	2
LCE5A	6
CRCT1	2
LCE3E	0
LCE3D	0
LCE3C	0
LCE3B	0
LCE3A	0
LCE2D	0
LCE2C	0
LCE2B	0
LCE2A	0
LCE4A	0
C1orf68	0
KPRP	0
LCE1F	0
LCE1E	0
LCE1D	0
LCE1C	0
LCE1B	0
LCE1A	0
LCE6A	0
SMCP	0
IVL	0
SPRR4	0
SPRR1A	2
SPRR3	1
SPRR1B	0
SPRR2D	57
SPRR2A	18
SPRR2B	0
SPRR2E	1
SPRR2F	0
SPRR2C	0
SPRR2G	2
LELP1	0
PRR9	0
LOR	43
PGLYRP3	0
PGLYRP4	0
S100A9	16
S100A12	2
S100A8	16
S100A7A	0
S100A7L2	0
S100A7	0
S100A6	417
S100A5	0
S100A4	9
S100A3	0
S100A2	2
S100A16	1214
S100A14	1
S100A13	600
S100A1	47
CHTOP	9454
SNAPIN	1709
ILF2	20467
NPR1	97
INTS3	13650
SLC27A3	2060
GATAD2B	19092
DENND4B	7687
CRTC2	3351
SLC39A1	3049
CREB3L4	1369
JTB	3841
RAB13	1428
RPS27	42902
NUP210L	173
TPM3	21929
MIR190B	0
C1orf189	0
C1orf43	8779
UBAP2L	18977
HAX1	3283
AQP10	0
ATP8B2	6565
IL6R	168
SHE	378
TDRD10	49
UBE2Q1	7121
CHRNB2	6791
ADAR	31115
KCNN3	6001
PMVK	3023
PBXIP1	2865
PYGO2	4219
SHC1	2009
CKS1B	1174
MIR4258	5
FLAD1	2434
LENEP	9
ZBTB7B	223
DCST2	64
DCST1	24
LOC100505666	51
ADAM15	2990
EFNA4	98
EFNA3	2724
EFNA1	397
SLC50A1	694
DPM3	366
KRTCAP2	1498
TRIM46	7860
MUC1	159
MIR92B	1
THBS3	3164
MTX1	692
GBAP1	2774
GBA	1199
FAM189B	2577
SCAMP3	3760
CLK2	4588
HCN3	8709
PKLR	20
FDPS	9702
RUSC1-AS1	261
RUSC1	16837
ASH1L	22694
MIR555	7
POU5F1P4	12
LOC645676	291
MSTO1	935
YY1AP1	8770
DAP3	4984
MSTO2P	815
GON4L	7720
SYT11	44961
RIT1	3373
KIAA0907	8009
SNORA42	9
SCARNA4	14
RXFP4	12
ARHGEF2	19737
SSR2	11660
UBQLN4	13872
LAMTOR2	1443
RAB25	60
MEX3A	41902
LMNA	3410
SEMA4A	3737
SLC25A44	4177
PMF1	438
PMF1-BGLAP	0
BGLAP	16
PAQR6	1209
SMG5	10781
TMEM79	422
C1orf85	635
VHLL	24
CCT3	19151
C1orf182	91
RHBG	6
C1orf61	16452
MIR9-1	7
MEF2D	5981
IQGAP3	2280
TTC24	4
APOA1BP	1835
GPATCH4	2360
HAPLN2	267
BCAN	9268
NES	24562
CRABP2	407
ISG20L2	2989
RRNAD1	1536
MRPL24	1808
HDGF	16765
PRCC	6884
SH2D2A	53
NTRK1	33
INSRR	185
PEAR1	436
LRRC71	55
ARHGEF11	14008
MIR765	16
ETV3L	1
ETV3	1128
CYCSP52	13
FCRL5	0
FCRL4	0
FCRL3	18
FCRL2	0
FCRL1	0
CD5L	2
KIRREL	2470
